L-12-0,TYPE2-JP-00110,1,180,14,255,6,101,67173,2,980,13,12,0,15,239,8445167
L-12-0,TYPE2-JP-00110,1,180,6,255,7,101,67429,2,980,13,12,0,18,242,8445170
L-12-0,TYPE2-JP-00110,1,180,63,255,0,102,65638,2,980,13,12,1,9,201,8445129
L-12-0,TYPE2-JP-00110,1,180,55,255,1,102,65894,2,980,13,12,1,27,219,8445147
L-12-0,TYPE2-JP-00110,1,180,47,255,2,102,66150,2,980,13,12,1,23,215,8445143
L-12-0,TYPE2-JP-00110,1,180,39,255,3,102,66406,2,980,13,12,1,19,211,8445139
L-12-0,TYPE2-JP-00110,1,180,31,255,4,102,66662,2,980,13,12,0,9,233,8445161
L-12-0,TYPE2-JP-00110,1,180,23,255,5,102,66918,2,980,13,12,0,27,251,8445179
L-12-0,TYPE2-JP-00110,1,180,15,255,6,102,67174,2,980,13,12,0,23,247,8445175
L-12-0,TYPE2-JP-00110,1,180,7,255,7,102,67430,2,980,13,12,0,28,252,8445180
L-12-1,TYPE2-JP-00096,1,180,56,255,8,95,67679,2,980,13,9,1,6,198,8444358
L-12-1,TYPE2-JP-00096,1,180,48,255,9,95,67935,2,980,13,9,1,1,193,8444353
L-12-1,TYPE2-JP-00096,1,180,40,255,10,95,68191,2,980,13,9,1,4,196,8444356
L-12-1,TYPE2-JP-00096,1,180,32,255,11,95,68447,2,980,13,9,1,11,203,8444363
L-12-1,TYPE2-JP-00096,1,180,24,255,12,95,68703,2,980,13,9,0,6,230,8444390
L-12-1,TYPE2-JP-00096,1,180,16,255,13,95,68959,2,980,13,9,0,1,225,8444385
L-12-1,TYPE2-JP-00096,1,180,8,255,14,95,69215,2,980,13,9,0,4,228,8444388
L-12-1,TYPE2-JP-00096,1,180,0,255,15,95,69471,2,980,13,9,0,12,236,8444396
L-12-1,TYPE2-JP-00096,1,180,57,255,8,96,67680,2,980,13,9,1,16,208,8444368
L-12-1,TYPE2-JP-00096,1,180,49,255,9,96,67936,2,980,13,9,1,2,194,8444354
L-12-1,TYPE2-JP-00096,1,180,41,255,10,96,68192,2,980,13,9,1,0,192,8444352
L-12-1,TYPE2-JP-00096,1,180,33,255,11,96,68448,2,980,13,9,1,10,202,8444362
L-12-1,TYPE2-JP-00096,1,180,25,255,12,96,68704,2,980,13,9,0,16,240,8444400
L-12-1,TYPE2-JP-00096,1,180,17,255,13,96,68960,2,980,13,9,0,2,226,8444386
L-12-1,TYPE2-JP-00096,1,180,9,255,14,96,69216,2,980,13,9,0,0,224,8444384
L-12-1,TYPE2-JP-00096,1,180,1,255,15,96,69472,2,980,13,9,0,7,231,8444391
L-12-1,TYPE2-JP-00096,1,180,58,255,8,97,67681,2,980,13,9,1,13,205,8444365
L-12-1,TYPE2-JP-00096,1,180,50,255,9,97,67937,2,980,13,9,1,17,209,8444369
L-12-1,TYPE2-JP-00096,1,180,42,255,10,97,68193,2,980,13,9,1,3,195,8444355
L-12-1,TYPE2-JP-00096,1,180,34,255,11,97,68449,2,980,13,9,1,7,199,8444359
L-12-1,TYPE2-JP-00096,1,180,26,255,12,97,68705,2,980,13,9,0,13,237,8444397
L-12-1,TYPE2-JP-00096,1,180,18,255,13,97,68961,2,980,13,9,0,17,241,8444401
L-12-1,TYPE2-JP-00096,1,180,10,255,14,97,69217,2,980,13,9,0,3,227,8444387
L-12-1,TYPE2-JP-00096,1,180,2,255,15,97,69473,2,980,13,9,0,10,234,8444394
L-12-1,TYPE2-JP-00096,1,180,59,255,8,98,67682,2,980,13,9,1,14,206,8444366
L-12-1,TYPE2-JP-00096,1,180,51,255,9,98,67938,2,980,13,9,1,8,200,8444360
L-12-1,TYPE2-JP-00096,1,180,43,255,10,98,68194,2,980,13,9,1,5,197,8444357
L-12-1,TYPE2-JP-00096,1,180,35,255,11,98,68450,2,980,13,9,1,12,204,8444364
L-12-1,TYPE2-JP-00096,1,180,27,255,12,98,68706,2,980,13,9,0,14,238,8444398
L-12-1,TYPE2-JP-00096,1,180,19,255,13,98,68962,2,980,13,9,0,8,232,8444392
L-12-1,TYPE2-JP-00096,1,180,11,255,14,98,69218,2,980,13,9,0,5,229,8444389
